orth phon sense pos gender asp dic_name usg etym_lang
абака АБАК'А " Многолетнее травянистое растение сем. банановых, растущее в тропиках; текстильный банан.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аббатиса АББАТ'ИСА " Настоятельница католического женского монастыря.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аббревиатура АББРЕВИАТ'УРА " Сложносокращённое слово, образованное из начальных букв или слогов какого-л. словосочетания  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аберрация АБЕРР'АЦИЯ " Искажение или недостаточная отчетливость изображений, даваемых оптическими приборами.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аберрация АБЕРР'АЦИЯ " Кажущееся смещение местонахождения на небесной сфере наблюдаемого светила относительно его истинного положения.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аберрация АБЕРР'АЦИЯ " Всякие отклонения от нормы в строении, форме, окраске или в функции.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абиссаль АБИСС'АЛЬ " Зона наибольших морских глубин.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
абракадабра АБРАКАД'АБРА " О трудно разбираемых или различаемых рисунках, надписях и т.п.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абсолютизация АБСОЛЮТИЗ'АЦИЯ " Придавать, приписывать чему-л. безусловное, самодовлеющее значение  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абсолютный АБСОЛ'ЮТНЫЙ " О ничтожном, абсолютно бесполезном в каком-л. деле человеке.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абсорбция АБС'ОРБЦИЯ " Всасывание вещества из раствора, смеси газов твёрдым веществом или жидкостью; поглощение каким-л. веществом при прохождении через него  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абстрактный АБСТР'АКТНЫЙ " Полученный путём абстракции  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абстракция АБСТР'АКЦИЯ " Мысленное отвлечение от каких-л. признаков, свойств, связей предмета или явления с целью выделения, обособления его существенных сторон, признаков; абстрагирование.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абстракция АБСТР'АКЦИЯ " Отвлечённое понятие, теоретическое обобщение опыта; признак или свойство, рассматриваемые сами по себе, вне связи с предметом.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абсцисса АБСЦ'ИССА " Величина, определяющая положение некоторой точки на плоскости или в пространстве по оси X в прямоугольной системе координат  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
абулия АБУЛ'ИЯ " Болезненное ослабление или утрата воли, отсутствие желания, стремления к деятельности как результат нервного заболевания или сильного переутомления; безволие. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
аванложа АВАНЛ'ОЖА " Небольшое помещение перед входом в театральную ложу  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
авансцена АВАНСЦ'ЕНА " Передняя, несколько выдвинутая в зрительный зал, часть сцены между занавесом и рампой.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
авантюра АВАНТ'ЮРА " Рискованное и сомнительное дело, предпринятое в расчёте на случайный успех.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
аварийка АВАР'ИЙКА " Аварийная машина.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аварийность АВАР'ИЙНОСТЬ " Наличие аварий где-л.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авария АВ'АРИЯ " Повреждение, выход из строя какого-л. механизма, машины, транспортного средства и т.п. во время действия, движения.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None итал.
авдотья АВД'ОТЬЯ " к Евдокия.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
